Timestamp,Target Eye,Velocity (deg/s),Interval Since Prev (s),Status
23:09:07.207,Right Eye,0.0,Initial Frame,Normal
23:09:07.207,Left Eye,0.0,Initial Frame,Normal
23:09:07.288,Right Eye,-124.8,0.081,Normal
23:09:07.288,Left Eye,-707.19,0.081,ANOMALY DETECTED
23:09:07.352,Right Eye,89.83,0.0638,Normal
23:09:07.352,Left Eye,359.33,0.0638,Normal
23:09:07.396,Right Eye,649.28,0.0441,ANOMALY DETECTED
23:09:07.396,Left Eye,324.64,0.0441,Normal
23:09:07.444,Right Eye,-186.0,0.0474,Normal
23:09:07.444,Left Eye,483.59,0.0474,Normal
23:09:07.491,Right Eye,0.0,0.0468,Normal
23:09:07.491,Left Eye,-734.84,0.0468,ANOMALY DETECTED
23:09:07.538,Right Eye,0.0,0.0471,Normal
23:09:07.538,Left Eye,0.0,0.0471,Normal
23:09:07.584,Right Eye,309.32,0.0463,Normal
23:09:07.584,Left Eye,309.32,0.0463,Normal
23:09:07.631,Right Eye,-242.43,0.0473,Normal
23:09:07.631,Left Eye,-1212.17,0.0473,ANOMALY DETECTED
23:09:07.679,Right Eye,-83.36,0.0474,Normal
23:09:07.679,Left Eye,0.0,0.0474,Normal
23:09:07.726,Right Eye,121.21,0.0473,Normal
23:09:07.726,Left Eye,0.0,0.0473,Normal
23:09:07.773,Right Eye,-84.22,0.0469,Normal
23:09:07.773,Left Eye,610.59,0.0469,ANOMALY DETECTED
23:09:07.821,Right Eye,-227.11,0.0485,Normal
23:09:07.821,Left Eye,0.0,0.0485,Normal
23:09:07.867,Right Eye,376.25,0.0457,Normal
23:09:07.867,Left Eye,-250.83,0.0457,Normal
23:09:07.914,Right Eye,187.09,0.0471,Normal
23:09:07.914,Left Eye,729.64,0.0471,ANOMALY DETECTED
23:09:07.962,Right Eye,0.0,0.0477,Normal
23:09:07.962,Left Eye,-600.55,0.0477,ANOMALY DETECTED
23:09:08.008,Right Eye,0.0,0.0464,Normal
23:09:08.008,Left Eye,0.0,0.0464,Normal
23:09:08.054,Right Eye,-126.07,0.0454,Normal
23:09:08.054,Left Eye,-252.15,0.0454,Normal
23:09:08.100,Right Eye,-246.41,0.0465,Normal
23:09:08.100,Left Eye,0.0,0.0465,Normal
23:09:08.149,Right Eye,-195.61,0.0488,Normal
23:09:08.149,Left Eye,704.2,0.0488,ANOMALY DETECTED
23:09:08.197,Right Eye,-0.0,0.0479,Normal
23:09:08.197,Left Eye,1195.48,0.0479,ANOMALY DETECTED
23:09:08.244,Right Eye,139.89,0.0473,Normal
23:09:08.244,Left Eye,-606.18,0.0473,ANOMALY DETECTED
23:09:08.291,Right Eye,370.32,0.0464,Normal
23:09:08.291,Left Eye,0.0,0.0464,Normal
23:09:08.337,Right Eye,-84.41,0.0468,Normal
23:09:08.337,Left Eye,1223.96,0.0468,ANOMALY DETECTED
23:09:08.385,Right Eye,-214.32,0.0472,Normal
23:09:08.385,Left Eye,-303.61,0.0472,Normal
23:09:08.430,Right Eye,483.68,0.0456,Normal
23:09:08.430,Left Eye,-503.03,0.0456,ANOMALY DETECTED
23:09:08.477,Right Eye,-121.56,0.0471,Normal
23:09:08.477,Left Eye,-121.56,0.0471,Normal
23:09:08.525,Right Eye,186.35,0.0473,Normal
23:09:08.525,Left Eye,-605.63,0.0473,ANOMALY DETECTED
23:09:08.572,Right Eye,-120.52,0.0475,Normal
23:09:08.572,Left Eye,482.07,0.0475,Normal
23:09:08.618,Right Eye,-290.04,0.0456,Normal
23:09:08.618,Left Eye,754.11,0.0456,ANOMALY DETECTED
23:09:08.667,Right Eye,347.37,0.0495,Normal
23:09:08.667,Left Eye,-694.74,0.0495,ANOMALY DETECTED
23:09:08.714,Right Eye,0.0,0.0463,Normal
23:09:08.714,Left Eye,309.05,0.0463,Normal
23:09:08.777,Right Eye,140.0,0.063,Normal
23:09:08.777,Left Eye,0.0,0.063,Normal
23:09:08.823,Right Eye,-122.55,0.0468,Normal
23:09:08.823,Left Eye,0.0,0.0468,Normal
23:09:08.870,Right Eye,197.02,0.0465,Normal
23:09:08.870,Left Eye,246.28,0.0465,Normal
23:09:08.916,Right Eye,0.0,0.0462,Normal
23:09:08.916,Left Eye,-744.72,0.0462,ANOMALY DETECTED
23:09:08.962,Right Eye,-249.45,0.0459,Normal
23:09:08.962,Left Eye,0.0,0.0459,Normal
23:09:09.009,Right Eye,194.61,0.0471,Normal
23:09:09.009,Left Eye,304.08,0.0471,Normal
23:09:09.054,Right Eye,-112.6,0.0449,Normal
23:09:09.054,Left Eye,510.43,0.0449,ANOMALY DETECTED
23:09:09.102,Right Eye,824.4,0.0481,ANOMALY DETECTED
23:09:09.102,Left Eye,-91.6,0.0481,Normal
23:09:09.148,Right Eye,-208.59,0.0458,Normal
23:09:09.148,Left Eye,-876.07,0.0458,ANOMALY DETECTED
23:09:09.194,Right Eye,-287.4,0.046,Normal
23:09:09.194,Left Eye,622.7,0.046,ANOMALY DETECTED
23:09:09.240,Right Eye,311.36,0.046,Normal
23:09:09.240,Left Eye,-191.6,0.046,Normal
23:09:09.287,Right Eye,-188.57,0.0467,Normal
23:09:09.287,Left Eye,0.0,0.0467,Normal
23:09:09.333,Right Eye,309.86,0.0462,Normal
23:09:09.333,Left Eye,-371.83,0.0462,Normal
23:09:09.382,Right Eye,-180.04,0.049,Normal
23:09:09.382,Left Eye,585.12,0.049,ANOMALY DETECTED
23:09:09.426,Right Eye,-128.12,0.0447,Normal
23:09:09.426,Left Eye,0.0,0.0447,Normal
23:09:09.475,Right Eye,392.08,0.0487,Normal
23:09:09.475,Left Eye,-470.49,0.0487,Normal
23:09:09.521,Right Eye,-150.66,0.0456,Normal
23:09:09.521,Left Eye,251.1,0.0456,Normal
23:09:09.567,Right Eye,-247.98,0.0462,Normal
23:09:09.567,Left Eye,0.0,0.0462,Normal
23:09:09.613,Right Eye,-296.2,0.0455,Normal
23:09:09.613,Left Eye,629.43,0.0455,ANOMALY DETECTED
23:09:09.661,Right Eye,458.47,0.0481,Normal
23:09:09.661,Left Eye,-238.41,0.0481,Normal
23:09:09.707,Right Eye,-122.33,0.0468,Normal
23:09:09.707,Left Eye,0.0,0.0468,Normal
23:09:09.754,Right Eye,190.72,0.0462,Normal
23:09:09.754,Left Eye,309.91,0.0462,Normal
23:09:09.800,Right Eye,-374.39,0.0459,Normal
23:09:09.800,Left Eye,-499.19,0.0459,Normal
23:09:09.864,Right Eye,-221.46,0.0647,Normal
23:09:09.864,Left Eye,221.46,0.0647,Normal
23:09:09.910,Right Eye,-0.0,0.0462,Normal
23:09:09.910,Left Eye,495.58,0.0462,Normal
23:09:09.956,Right Eye,1003.07,0.0457,ANOMALY DETECTED
23:09:09.956,Left Eye,-626.92,0.0457,ANOMALY DETECTED
23:09:10.002,Right Eye,-125.65,0.0456,Normal
23:09:10.002,Left Eye,251.31,0.0456,Normal
23:09:10.048,Right Eye,1226.82,0.0467,ANOMALY DETECTED
23:09:10.048,Left Eye,-736.09,0.0467,ANOMALY DETECTED
23:09:10.095,Right Eye,-245.09,0.0468,Normal
23:09:10.095,Left Eye,306.37,0.0468,Normal
23:09:10.142,Right Eye,0.0,0.0469,Normal
23:09:10.142,Left Eye,0.0,0.0469,Normal
23:09:10.190,Right Eye,-1187.8,0.0482,ANOMALY DETECTED
23:09:10.190,Left Eye,237.56,0.0482,Normal
23:09:10.237,Right Eye,618.88,0.0463,ANOMALY DETECTED
23:09:10.237,Left Eye,-1237.77,0.0463,ANOMALY DETECTED
23:09:10.281,Right Eye,0.0,0.0445,Normal
23:09:10.281,Left Eye,257.31,0.0445,Normal
23:09:10.329,Right Eye,-241.4,0.0475,Normal
23:09:10.329,Left Eye,-603.51,0.0475,ANOMALY DETECTED
23:09:10.377,Right Eye,0.0,0.0482,Normal
23:09:10.377,Left Eye,1188.1,0.0482,ANOMALY DETECTED
23:09:10.425,Right Eye,-600.73,0.0477,ANOMALY DETECTED
23:09:10.425,Left Eye,-1201.46,0.0477,ANOMALY DETECTED
23:09:10.471,Right Eye,495.85,0.0462,Normal
23:09:10.471,Left Eye,619.82,0.0462,ANOMALY DETECTED
23:09:10.521,Right Eye,567.9,0.0504,ANOMALY DETECTED
23:09:10.521,Left Eye,-454.32,0.0504,Normal
23:09:10.563,Right Eye,0.0,0.0417,Normal
23:09:10.563,Left Eye,0.0,0.0417,Normal
23:09:10.610,Right Eye,0.0,0.047,Normal
23:09:10.610,Left Eye,0.0,0.047,Normal
23:09:10.656,Right Eye,-414.77,0.046,Normal
23:09:10.656,Left Eye,-622.15,0.046,ANOMALY DETECTED
23:09:10.701,Right Eye,769.01,0.0447,ANOMALY DETECTED
23:09:10.701,Left Eye,0.0,0.0447,Normal
23:09:10.747,Right Eye,0.0,0.0458,Normal
23:09:10.747,Left Eye,1251.46,0.0458,ANOMALY DETECTED
23:09:10.792,Right Eye,0.0,0.0459,Normal
23:09:10.792,Left Eye,-249.78,0.0459,Normal
23:09:10.838,Right Eye,0.0,0.0458,Normal
23:09:10.838,Left Eye,1250.4,0.0458,ANOMALY DETECTED
23:09:10.888,Right Eye,0.0,0.0494,Normal
23:09:10.888,Left Eye,-580.28,0.0494,ANOMALY DETECTED
23:09:10.931,Right Eye,0.0,0.0434,Normal
23:09:10.931,Left Eye,264.07,0.0434,Normal
23:09:10.978,Right Eye,-615.64,0.0465,ANOMALY DETECTED
23:09:10.978,Left Eye,0.0,0.0465,Normal
23:09:11.038,Right Eye,189.89,0.0603,Normal
23:09:11.038,Left Eye,0.0,0.0603,Normal
23:09:11.100,Right Eye,0.0,0.0621,Normal
23:09:11.100,Left Eye,0.0,0.0621,Normal
23:09:11.162,Right Eye,-464.27,0.0617,Normal
23:09:11.162,Left Eye,928.55,0.0617,ANOMALY DETECTED
23:09:11.224,Right Eye,370.32,0.0619,Normal
23:09:11.224,Left Eye,-185.16,0.0619,Normal
23:09:11.285,Right Eye,0.0,0.0615,Normal
23:09:11.285,Left Eye,-1864.54,0.0615,ANOMALY DETECTED
23:09:11.348,Right Eye,0.0,0.0631,Normal
23:09:11.348,Left Eye,454.02,0.0631,Normal
23:09:11.410,Right Eye,465.08,0.0616,Normal
23:09:11.410,Left Eye,-186.03,0.0616,Normal
23:09:11.470,Right Eye,-189.38,0.0605,Normal
23:09:11.470,Left Eye,473.45,0.0605,Normal
23:09:11.532,Right Eye,184.36,0.0622,Normal
23:09:11.532,Left Eye,0.0,0.0622,Normal
23:09:11.595,Right Eye,908.76,0.063,ANOMALY DETECTED
23:09:11.595,Left Eye,363.51,0.063,Normal
23:09:11.658,Right Eye,-368.1,0.0623,Normal
23:09:11.658,Left Eye,0.0,0.0623,Normal
23:09:11.748,Right Eye,0.0,0.0899,Normal
23:09:11.748,Left Eye,-318.82,0.0899,Normal
23:09:11.828,Right Eye,568.32,0.0807,ANOMALY DETECTED
23:09:11.828,Left Eye,142.08,0.0807,Normal
23:09:11.889,Right Eye,469.2,0.0611,Normal
